MovieID,UserID,Rating
2458,1978,2.0
2872,2496,4.0
1855,1703,3.0
1608,2638,4.0
912,3155,5.0
778,3955,4.0
1488,4814,3.0
1758,4435,3.0
357,2434,4.0
909,1910,5.0
1976,238,2.0
3445,4904,3.0
2353,5023,4.0
3698,1798,2.0
2174,3897,4.0
480,5086,3.0
2759,2538,4.0
1673,4065,4.0
555,5077,4.0
2662,797,4.0
1246,914,4.0
2124,2758,4.0
1779,3808,4.0
350,174,4.0
430,4109,2.0
1050,464,3.0
1265,3842,4.0
457,1638,4.0
2915,1629,4.0
1066,801,4.0
500,5731,4.0
532,1588,3.0
2120,5617,3.0
1186,1276,4.0
2288,2892,4.0
477,4451,4.0
3094,1808,4.0
780,2138,4.0
3113,1223,4.0
2411,778,3.0
368,3668,4.0
1302,418,4.0
1127,2088,4.0
1136,2844,5.0
3159,5408,3.0
3213,4627,2.0
2335,2979,4.0
1590,521,2.0
2687,5821,4.0
2571,4786,4.0
2973,74,4.0
1233,2460,5.0
2009,4747,3.0
1268,5401,4.0
3053,1849,3.0
3479,4423,4.0
2728,2460,5.0
520,2118,4.0
1270,2711,3.0
2506,3441,3.0
3624,2296,3.0
350,912,3.0
1307,3565,4.0
2394,3466,3.0
2335,5036,2.0
2747,964,3.0
2628,214,4.0
198,5907,4.0
318,833,5.0
2085,2896,4.0
21,4366,4.0
1848,5429,3.0
246,5876,5.0
2561,4039,4.0
1212,5359,5.0
1721,251,4.0
3271,986,4.0
2700,4344,4.0
2791,4438,5.0
1702,419,3.0
1722,5724,3.0
2599,1401,4.0
1965,116,4.0
480,5215,2.0
3504,1801,4.0
1748,5820,3.0
3271,2955,4.0
3604,3612,3.0
3174,716,4.0
2881,577,3.0
2355,2943,3.0
1204,4722,4.0
1378,4929,4.0
1374,2979,4.0
1513,2476,2.0
3448,1287,4.0
280,4194,3.0
1036,3925,5.0
589,959,5.0
1429,5877,3.0
453,1058,3.0
1391,3216,3.0
3160,4409,5.0
1232,1222,5.0
2078,4299,4.0
1431,736,3.0
252,4566,3.0
903,3233,4.0
1824,1861,5.0
708,5192,3.0
897,1367,3.0
1831,3995,4.0
1653,711,4.0
2019,133,5.0
3052,147,4.0
1794,535,3.0
1111,2355,5.0
1344,81,3.0
3215,1367,3.0
3257,2032,4.0
3255,3978,5.0
3681,2770,4.0
3039,2121,4.0
2542,2323,4.0
2136,2745,2.0
2599,3556,4.0
3457,5296,4.0
1089,5182,4.0
2022,984,3.0
